Nr. ,Egz.,Autorius ,Pavadinimas ,Metai ,Puslapiai 
1,1,Amerikiečių fantastika,"Užslinks naktis (1998 leidime pridėti 4 apsakymai, bet pašalinti 2)",1991 (perleista 1998),192 (224)
2,1,Clifford D. Simak,Kaukų draustinis,1992,176
3,3,Užsienio fantastika,Pragaištingas krėslas (14 apsakymų) ,1992,192
4,2,Andre Norton,Raganų pasaulis,1992,224
5,3,Poul Anderson,Kryžiaus žygis į dausas,1993,224
6,1,Michael Moorcock,Kalavijų rikis,1993,224
7,1,Andre Norton,Raganų pasaulio voratinklis,1993,224
8,2,Poul Anderson,Trys širdys ir trys liūtai (Skraidančių peilių vartai),1993,224
9,1,Clifford D. Simak,Vilkolakio principas,1993,224
10,1,Anglosaksų fantastika,Balsas tyruose,1993,224
11,1,Clifford D. Simak,Kapinių planeta,1993,224
12,1,Harry Harrison,Mirties planeta,1994,224
13,1,Philip Jose Farmer,Visatų kūrėjas,1994,224
14,1,Philip K. Dick,Ubikas,1994,224
15,2,Michael Moorcock,Kalavijų valdovai,1994,256
16,1,Stanislaw Lem,Setauro medžioklė (Nenugalimasis) ,1994,224
17,1,Anglosaksų fantastika,Smėlio karaliai (8 apsakymai),1994,224
18,1,Harry Harrison,Plieninė žiurkė,1994,256
19,1,Robert Sheckley,Korporacija „Nemirtingumas“,1994,224
20,1,Isaac Asimov,Fondas,1994,224
21,1,Christopher Priest,Erdvės mašina,1994,336
22,1,Clifford D. Simak,Talismano brolija,1994,224
23,1,Robert Sheckley,Sielų mainai,1994,224
24,1,Eric Frank Russell,Širšė,1995,224
25,1,Harry Harrison,Plieninė žiurkė 2,1995,256
26,1,Andre Norton,Trise prieš raganų pasaulį,1995,224
27,1,Robert A. Heinlein,Lėlininkai,1995,224
28,1,Brian W. Aldiss,Non-stop,1995,224
29,2,Michael Moorcock,Korumo kronikos,1995,224
30,1,Harry Harrison,Plieninė žiurkė 3,1995,224
31,1,Anglosaksų fantastika,Kosmoso verpetas (10 apsakymų) ,1995,224
32,1,Stanislaw Lem,Futurologų kongresas,1995,240
33,1,Poul Anderson,Laiko patrulis,1995,240
34,1,Philip Jose Farmer,Į savo prarastus kūnus sugrįšite,1995,224
35,1,Poul Anderson,Operacija „Chaosas“,1995,240
36,1,Brian W. Aldiss,Šiltadaržis,1995,224
37,1,Harry Harrison,Etikos specialistas,1995,224
38,1,Harry Harrison,Raitieji Barbarai,1996,224
39,1,Harry Harrison,Pareigos jausmas,1996,240
40,1,Larry Niven,Žiedinis pasaulis,1996,335
41,1,Francis Carsac,Likimo kalnai,1996,208
42,1,Robert A. Heinlein,Žvaigždžių žvėris,1996,224
43,1,Christopher Rowley,Kovinė forma,1996,256
44,2,Frederik Pohl,Sugrįžtuvės,1996,224
45,1,Andre Norton,Žvaigždžių gvardija,1996,208
46,1,Stephen King,Drakono Akys,1996,240
47,1,Harry Harrison,Plieninė žiurkė keliauja pragaran,1996,208
48,1,Harry Harrison,Plieninės žiurkės gimimas,1996,208
49,1,Harry Harrison,Plieninė žiurkė kariuomenėje,1996,222
50,1,Lois McMaster Bujold,Kario mokinys,1996,256
51,1,Isaac Asimov,Amžinybės pabaiga,1996,208
52,1,Lois McMaster Bujold,Forų žaidimai,1996,255
53,1,Christopher Rowley,Kautynių meistras,1996,240
54,1,Colin Wilson,Dykuma,1996,224
55,1,Colin Wilson,Bokštas,1996,224
56,1,Harry Harrison,Plieninė žiurkė dainuoja bliuzą,1996,208
57,1,Alan Dean Foster,Vidurio pasaulis,1996,208
58,1,W. Michael Gear,Dievo voro kariai,1996,304
59,1,David Brin,Išaukštinimo karas (1 dalis),1996,287
60,1,David Brin,Išaukštinimo karas (2 dalis),1996,319
61,1,Colin Wilson,Delta,1997,240
62,1,George Lucas,Žvaigždžių karai,1997,208
63,1,Lois McMaster Bujold,Cetaganda,1997,207
64,1,Donald F. Glut,Imperija kontratakuoja,1997,205
65,1,Charles Sheffield,Tarp nakties prisiglaudimų,1997,254
66,1,James Kahn,Džedajaus sugrįžimas,1997,207
67,1,Colin Wilson,Raganius,1997,255
68,1,"Andrew Keith, Wiliam H. Keith Jr.",Ištikimybė ir garbė,1997,223
69,1,Alan Dean Foster,Įkalintas prizmėje,1997,223
70,1,Harry Harrison,Belaisvė visata,1997,204
71,1,Jack L. Chalker,Lilita,1997,208
72,1,Jack L. Chalker,Cerberis,1997,208
73,1,Jack L. Chalker,Charonas,1997,208
74,1,Jack L. Chalker,Medūza,1997,208
75,1,Glen Cook,Juodoji Gvardija,1997,240
76,1,"Allan Cole, Chris Bunch",Stenas,1997,207
77,1,Sterling E. Lanier,Hiero kelionė,1997,303
78,1,Ray Bradbury,Amžinos atostogos,1997,223
79,1,"Allan Cole, Chris Bunch",Vilkų pasauliai,1997,207
80,1,Glen Cook,Ilgėjantys šešėliai,1997,230
81,1,Jack L. Chalker,Vidurnaktis prie sielų šulinio,1997,310
82,1,"Chris Bunch, Allan Cole",Tūkstančio saulių valdovas,1997,224
83,1,Glen Cook,Baltoji Rožė,1997,248
84,1,Lois McMaster Bujold,Ginklo broliai,1997,230
85,1,Philip Jose Farmer,Deira,1997,224
86,1,John E. Stith,Manheteno pagrobimas,1997,228
87,1,Vonda N. McIntyre,Perėjimas,1997,260
88,1,Margaret Davis,Protų susidūrimas,1997,224
89,1,Vernon Vinge,Liepsnojančios gelmės (1 dalis),1998,264
90,1,Vernon Vinge,Liepsnojančios gelmės (2 dalis),1998,256
91,1,James P. Hogan,Operacija „Protėjas“ (1 dalis),1998,224
92,1,James P. Hogan,Operacija „Protėjas“ (2 dalis),1998,224
93,1,William R. Forstchen,Aleksandro žiedas,1998,224
94,1,Poul Anderson,Ugnies laikai,1998,224
95,1,William R. Forstchen,Mirtinas Gambitas,1998,256
96,1,Poul Anderson,Jūrų valdovo vaikai,1998,272
97,1,Christopher Priest,Išvirkščias pasaulis,1998,224
98,1,William R. Forstchen,Napoleono revanšas,1998,288
99,užs.,Jack L. Chalker,Viduriniosios tamsos valdovai,1998,256
100,1,Jack L. Chalker,"""Griausmo"" piratai",1998,224
101,1,Jack L. Chalker,Audros kariai,1998,288
102,1,Jack L. Chalker,Kankinių kaukės,1998,288
103,1,Harry Harrison,Sugrįžimas į mirties planetą,1998,208
104,1,Harry Harrison,Mirties planeta dievų kelyje,1998,208
105,1,Alan Dean Foster,Ledo planeta,1998,224
106,1,Douglas Niles,Tamsiosios jėgos Mūnšajuose,1998,276
107,1,William R. Burket,Užmigęs pasaulis,1998,240
108,1,Douglas Niles,Juodieji burtininkai,1998,256
109,1,Allen L. Wold,Drakono lobis,1998,240
110,1,Poul Anderson,Laiko sargyba,1998,240
111,1,Robert A. Heinlein,Galaktikos pilietis,1998,224
112,1,Ian Wallace,Liuciferio kometa,1998,304
113,1,Douglas Niles,Tamsusis šaltinis,1998,240
114,1,"Mark Gascoigne, Carl Sargent",Nosferatu,1998,224
115,1,George R. R. Martin,Tafo klajonės,1998,206
116,1,"Larry Niven, Steven Barnes",Svajonių parkas,1998,272
117,1,Poul Anderson,Laiko labirintai (Ožio daina) ,1998,224
118,1,Clifford D. Simak,"Šekspyro planeta (Gražuolė, Pūdlio naktis)",1998,224
119,1,Joe Haldeman,Amžinasis karas,1998,224
120,1,James Blish,Atgijusios žvaigždės (3 apsakymai) ,1999,224
121,1,Poul Anderson,Laiko skydas,1999,240
122,1,Greg Bear,Era (1 dalis),1999,240
123,1,Greg Bear,Era (2 dalis),1999,240
124,1,E.C. Tubb,Gato vėjai (Dirėja) ,1999,240
125,1,Roger Zelazny,Devyni Ambero princai (ir dar 3 apsakymai),1999,224
126,1,Roger Zelazny,Avalono ginklai(Hokusajo tapyti 24 Fudzijamos vaizdai),1999,224
127,1,Marion Zimmer Bradley,Raudonojo mėnulio medžiotojai,1999,208
128,1,"Bradley Marion Zimmer, Paul E. Zimmer",Išlikusieji,1999,240
129,1,Greg Bear,Amžinybė (1 dalis),1999,256
130,1,Greg Bear,"Amžinybė (2 dalis, taip pat Žūtbūtinis susirėmimas) ",1999,240
131,1,Roger Zelazny,Vienaragio ženklas (ir dar 2 apsakymai) ,1999,208
132,1,Roger Zelazny,Oberono ranka (ir dar 2 apsakymai),1999,208
133,1,Jonathan Lethem,Pistoletas su muzika,1999,224
134,1,Roger Zelazny,Chaoso rūmai (ir dar 4 apsakymai) ,1999,240
135,1,William Dietz,Asmens sargybinis,1999,240
136,1,Isaac Asimov,Fondas ir imperija (L-vamzdis),1999,252
137,1,Harry Harrison,Mirties planeta prieš flibustjerus,1999,272
138,1,Isaac Asimov,"Antrasis fondas (Gelmė, Paskutinis klausimas)",1999,239
139,1,Robert Asprin,Blėnių vežėčios,1999,256
140,1,Colin Wilson,Kosmoso vampyrai,1999,240
141,1,Jack L. Chalker,Demonai vaivorykštės juostoje,1999,256
142,užs.,Jack L. Chalker,Bėgimas į chaoso ištakas,1999,240
143,užs.,Jack L. Chalker,Devyniasdešimt trilijonų faustų,1999,288
144,1,Ian Watson,Kosmoso inkvizitoriai,1999,224
145,1,Ian Watson,Inkvizitoriaus misija,1999,208
146,1,Harry Harrison,Mirties planeta ir pragaro išperos,1999,272
147,1,C.J. Cherryh,Goblinų veidrodis,1999,240
148,1,Sterling E. Lanier,Nenugalėtasis Hieras,1999,256
149,1,"Colin Kapp, Harlan Ellison, Robert Silverberg","Chaoso formos (Aš neturiu burnos, bet…, Nakties sparnai)",1999,220
150,1,Timothy Zahn,Juodieji smogikai,1999,240
151,1,Clifford D. Simak,Projektas „Popiežius“,1999,240
152,užs.,William Dietz,Prakeiktųjų legionas,2000,288
153,1,"Frederick Pohl, Jack Williamson",Laiko dainiai,2000,256
154,2,Lawrence Watt-Evans,Denerio skeveldros,2000,240
155,užs.,Andre Norton,"Kosmoso sargasai (Visos katės pilkos, Pelėkautai)",2000,224
156,1,Clifford D. Simak,"Žvaigždžių paveldas (Šokančių elnių grota, Tikslo karta)",2000,240
157,,Allen Roger MacBride,Garbės fakelas,2000,256
158,1,Marion Zimmer Bradley,Kasandra (1 dalis),2000,256
159,1,Marion Zimmer Bradley,Kasandra (2 dalis),2000,256
160,užs.,Andre Norton,Maro laivas,2000,240
161,1,Bill Baldwin,Vairininkas,2000,256
162,užs.,Charles Sheffield,Vasaros potvynis,2000,240
163,užs.,Charles Sheffield,Divergencija,2000,240
164,1,"Colin Kapp, Bob Shaw, Wolfram Kober, Jacek Sawaszkiewicz","Chaoso ginklas (Amfiteatras, Karas, Mes leidome jiems išskristi)",2000,240
165,,"Isaac Asimov, John Varley, Ian Watson, J. G. Ballard","Akmenėlis danguje (Antskrydis, Narvas mirčiai, 13 į Kentaurą)",2000,240
166,1,Diann Thornley,Kosmoso vaikas,2000,240
167,užs.,"Barrington J. Bayley, Gene Wolfe, Poul Anderson","Amžinybės ramsčiai (Vilkatas, Kūno dalybos)",2000,240
168,užs.,Allen Steele,Jericho iteracija,2000,240
169,1,Francis Carsac,Visatos ateiviai (Šis pasaulis mūsų),2000,288
170,,Robert E. Howard,Konanas,2000,224
171,1,William Tenn,Sienų žmonės,2000,224
172,1,"Fred Saberhagen, David Brin, Walter Miller, Jr., Robert Silverberg","Mirties mašina (Krištolinės sferos, Kantata Leibovičiui, Toks tokį pažino)",2000,240
173,1,Henry Lion Oldie,Aštuntojo įsakymo posūniai (Senelio-vampyro pasakos),2000,224
174,1,John E. Stith,Įsibrovėlis,2000,240
175,užs.,Timothy Zahn,Slaptieji pasauliai,2000,272
176,1,Douglas Adams,"Keliautojo kosmostopu vadovas po galaktiką (Sudie, ir ačiū už žuvis)",2000,272
177,užs.,"Alan Dean Foster, Ursula K. Le Guin, Robert Sheckley","Galingųjų palikimas (Vėrinys, Šalin rankas!, Minties kvapas)",2000,240
178,1,Terry Pratchett,Magijos spalva,2000,224
179,1,Jack L. Chalker,Čozų raizginys,2000,224
180,1,Chris Bunch,Nematomas karys,2000,224
181,užs.,"Margaret Weis, Don Perrin",Juodosios žemės riteriai (1 dalis),2000,240
182,1,"Margaret Weis, Don Perrin",Juodosios žemės riteriai (2 dalis),2000,240
183,1,Alan Dean Foster ,Našlaičio žvaigždė,2000,242
184,1,Robert E. Howard,Konanas: drakono valanda,2000,224
185,1,Robert Sheckley,Užmiršti pasauliai (14 apsakymų),2000,272
186,1,Hal Clement,Ekspedicija „Trauka“,2000,224
187,1,"Roger Zelazny, Larry Niven",Mirusiųjų sala (Saulės sistemos pakraštyje),2000,240
188,1,"Gerard Klein, Larry Niven",Žvaigždžių gambitas (ir dar 3 apsakymai),2000,224
189,1,John E. Stith,Užmaršties salonas,2001,240
190,užs.,"Eric Brown, Užsienio fantastika",Žemės paveldėtojai (ir dar 8 apsakymai),2001,240
191,1,"Margaret Weis, Don Perrin",Kiborgo misija,2001,320
192,1,Sergej Lukjanenko,Atspindžių labirintas,2001,288
193,1,"Chris Bunch, Andre Norton",Rojaus medžioklė (Tegyvuoja lordas Koras!),2001,240
194,1,Chris Bunch,Dievybės šešėlis,2001,224
195,užs.,Sherri S. Tepper,Dievų saulėlydis (1 dalis),2001,256
196,1,Sherri S. Tepper,Dievų saulėlydis (2 dalis),2001,304
197,1,Poul Anderson,Šėtono pasaulis,2001,240
198,1,Harry Harrison,"Bilis, galaktikos didvyris (ir dar 5 apsakymai)",2001,240
199,1,"Piers Anthony, George H. Smith, John Brunner","Stepė (Tremtiniai, Vitanuliai)",2001,224
200,1,Vernor Vinge,Gelmė danguje (1 dalis),2001,256
201,1,Vernor Vinge,Gelmė danguje (2 dalis),2001,256
202,1,Vernor Vinge,Gelmė danguje (3 dalis),2001,256
203,užs.,Paul Cook,Saulės tvirtovė,2001,288
204,,Harry Harrison,Plieninė žiurkė spąstuose,2001,240
205,1,Alan Dean Foster ,Tranksų visata,2001,240
206,1,Robert J. Sawyer,Mirtinas Eksperimentas,2001,272
207,1,Sergej Lukjanenko,Netikri veidrodžiai,2001,304
208,1,"Gregory Benford, Gordon Eklund",Jei žvaigždės būtų dievai,2001,224
209,1,Michael Swanwick,Vakuuminės gėlės,2001,256
210,1,"Roger Zelazny, David Brin, Robert Sheckley","Numirti Italbare (Pavėlavusieji, Kur dar nebuvo įžengęs žmogus)",2001,240
211,1,William Dietz,Imperijos premija,2001,256
212,1,William Dietz,Ateivių premija,2001,224
213,1,Philip Jose Farmer,Akmeninis dievas,2001,240
214,,"Roger Zelazny, Thomas T. Thomas",Lokio kaukė,2001,272
215,užs.,"Harry Harrison, Gordon Dickson, Dmitrij Skiriuk","Gelbėjimosi laivas (Kai dievai patys gieda ditirambus, Taupyklė)",2001,224
216,,Gregory Benford,Didžioji dangaus upė,2001,320
217,1,Terry Pratchett,Šviesa fantastiška,2000,224
218,1,Robert Silverberg,Žmogus labirinte (ir dar 2 apsakymai),2001,224
219,1,Viktor Burcev,Deimantiniai nervai,2001,288
220,1,Andre Norton,"Laiko šmėklos, (Kvaito gintaras)",2001,224
221,1,Arthur C. Clarke,"Miestas ir žvaigždės, (Tamsos siena)",2001,272
222,1,Sergej Lukjanenko,Svajų linija,2001,304
223,1,Philip K. Dick,Ar androidai sapnuoja elektrines avis? (2 apsakymai),2002,240
224,1,William Dietz,Mak-Keido premija,2002,240
225,1,John E. Stith,Neverendo paslaptys,2002,256
226,1,Harry Harrison,"Bilis, galaktikos didvyris, robotų vergų planetoje (Kapitonas Bedlamas, Kapitonas Honarijus Harplejeris)",2002,224
227,,Ursula K. Le Guin,Žemjūrės burtininkas,2002,224
228,1,Greg Egan,Karantinas,2002,240
229,,Ursula K. Le Guin,Atuano kapai (ir dar 3 apsakymai),2002,224
230,užs.,Clifford D. Simak,"Galaktikos bičiuliai, (7 apsakymai)",2002,240
231,1,Gregory Benford,Šviesos vandenynas,2002,320
232,,Anne McCaffrey,Drakono skrydis,2002,256
233,užs.,Piers Anthony,Chtonas,2002,224
234,1,"Isaac Asimov, Michael Moorcock",Kosmoso upės (Nuolatinio kitimo būsena) ,2002,224
235,,Ursula K. Le Guin,Tolimiausias krantas (ir dar 2 apsakymai) ,2002,240
236,1,"Gerard Klein, Michael Demuth, Jolie Verlange","Karo dievai (Svetima vasara, Burbulai)",2002,224
237,1,Anne McCaffrey,Drakono klajonės,2002,304
238,1,"Piers Anthony, Harlan Ellison, Gordon Dickson","Ftoras (Pasaulių žudikas, Apsiaustas ir lazda)",2002,240
239,1,"Isaac Asimov, Robert A. Heilein",Žvaigždės lyg dulkės (Džeris buvo žmogus),2002,234
240,,Harry Harrison,Mirties planeta ir žmonijos priešai,2002,272
241,,"Clifford D. Simak, J. G. Ballard",Likimo įkaitai (Krištolo žmogus) ,2002,224
